89         number of stage
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
54.0065    X coordinate mm
85.4765    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-025-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.9790    X coordinate mm
85.4880    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-025-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.6245    X coordinate mm
85.6595    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-025-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.6620    X coordinate mm
85.6690    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-025-4                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.7230    X coordinate mm
85.6620    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-025-5                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.8040    X coordinate mm
85.6435    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-025-6                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
53.8585    X coordinate mm
85.6355    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-025-7                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
55.1070    X coordinate mm
85.9115    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-027-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
55.0840    X coordinate mm
85.9215    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-027-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
36.8300    X coordinate mm
94.6170    Y coordinate mm
10.8665    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-028-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
38.1905    X coordinate mm
91.1090    Y coordinate mm
10.8665    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
Omp061                                            
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
38.1800    X coordinate mm
91.1550    Y coordinate mm
10.8665    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
Omp62                                             
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
39.3240    X coordinate mm
90.2465    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-030-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
39.3180    X coordinate mm
90.2710    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-030-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
39.2805    X coordinate mm
90.4540    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-030-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
39.4295    X coordinate mm
90.5670    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-030-4                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
39.4250    X coordinate mm
90.5575    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-030-5                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
39.4160    X coordinate mm
90.5440    Y coordinate mm
10.8685    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-030-6                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
41.4325    X coordinate mm
88.4660    Y coordinate mm
10.8690    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-032-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
41.4335    X coordinate mm
88.4845    Y coordinate mm
10.8690    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-032-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
41.4185    X coordinate mm
88.4955    Y coordinate mm
10.8690    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-032-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
41.4630    X coordinate mm
88.5230    Y coordinate mm
10.8690    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-032-4                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
45.2165    X coordinate mm
85.6455    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-033-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
45.2165    X coordinate mm
85.5980    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-033-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
45.1840    X coordinate mm
85.5845    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-033-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.9220    X coordinate mm
84.8440    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-034-1                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.9310    X coordinate mm
84.8655    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-034-2                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.9460    X coordinate mm
84.8590    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
150515-034-3                                      
Y 	Measurement Yes On / No oFF
S          Stage scan / Beam scan
57.9555    X coordinate mm
84.8720    Y coordinate mm
10.8695    Z coordinate mm
1024       Beam X coordinate dots
1031       Beam Y coordinate dots
40         Magnification of beam scan case
1          accumulation
